title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,duration_ms,time_signature
['Living Dead Girl'],['Rob Zombie'],['10V8XpuyMoEcSMfM79WDET'],0.518,0.948,6,-5.58,0,0.0683,0.00504,0.104,0.228,0.55,103.025,https://api.spotify.com/v1/tracks/10V8XpuyMoEcSMfM79WDET,https://api.spotify.com/v1/audio-analysis/10V8XpuyMoEcSMfM79WDET,201400,4
['The Trooper - 1998 Remaster'],['Iron Maiden'],['6tVs6BS4vqrFsCrHS0Ycsr'],0.288,0.864,4,-6.762,0,0.0673,0.0172,0.0567,0.541,0.621,162.233,https://api.spotify.com/v1/tracks/6tVs6BS4vqrFsCrHS0Ycsr,https://api.spotify.com/v1/audio-analysis/6tVs6BS4vqrFsCrHS0Ycsr,250947,4
['Personal Jesus'],['Marilyn Manson'],['6SyutgkQfLKfcsWvmh02k2'],0.573,0.942,2,-5.259,1,0.124,0.000246,0.00514,0.524,0.278,130.147,https://api.spotify.com/v1/tracks/6SyutgkQfLKfcsWvmh02k2,https://api.spotify.com/v1/audio-analysis/6SyutgkQfLKfcsWvmh02k2,246680,4
['Upperdrugs'],['Highly Suspect'],['1282B1Jq5ouCDAK7JINkLF'],0.478,0.747,7,-3.611,1,0.0462,0.00697,5.21e-05,0.0649,0.152,120.04,https://api.spotify.com/v1/tracks/1282B1Jq5ouCDAK7JINkLF,https://api.spotify.com/v1/audio-analysis/1282B1Jq5ouCDAK7JINkLF,316199,4
"[""Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers)""]",['Stevie Nicks'],['4arK5jOnCdjL3qZR2GF5rY'],0.629,0.587,4,-7.228,0,0.026,0.313,0.00258,0.125,0.634,107.068,https://api.spotify.com/v1/tracks/4arK5jOnCdjL3qZR2GF5rY,https://api.spotify.com/v1/audio-analysis/4arK5jOnCdjL3qZR2GF5rY,242760,4
['Dazed and Confused - 1990 Remaster'],['Led Zeppelin'],['6hu1f1cXSw7OAqhpSQ2zDy'],0.271,0.553,2,-9.526,1,0.0472,0.044,0.0096,0.0999,0.433,86.762,https://api.spotify.com/v1/tracks/6hu1f1cXSw7OAqhpSQ2zDy,https://api.spotify.com/v1/audio-analysis/6hu1f1cXSw7OAqhpSQ2zDy,386373,3
['Yesterdays'],"[""Guns N' Roses""]",['4kcNw4EBM2QkoxkwpADbob'],0.357,0.87,6,-6.709,1,0.0562,0.0611,0.00357,0.259,0.476,171.93,https://api.spotify.com/v1/tracks/4kcNw4EBM2QkoxkwpADbob,https://api.spotify.com/v1/audio-analysis/4kcNw4EBM2QkoxkwpADbob,194493,4
['Faint'],['Linkin Park'],['7AB0cUXnzuSlAnyHOqmrZr'],0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,https://api.spotify.com/v1/tracks/7AB0cUXnzuSlAnyHOqmrZr,https://api.spotify.com/v1/audio-analysis/7AB0cUXnzuSlAnyHOqmrZr,162600,4
['Road to Nowhere - 2003 Remaster'],['Talking Heads'],['4OHIIZHytQRtATug0Abpaa'],0.651,0.81,2,-4.888,1,0.0326,0.0335,1.46e-05,0.125,0.605,110.357,https://api.spotify.com/v1/tracks/4OHIIZHytQRtATug0Abpaa,https://api.spotify.com/v1/audio-analysis/4OHIIZHytQRtATug0Abpaa,259027,4
['Midlife Crisis'],['Faith No More'],['3Ph7fws05DvPwpn5CQHTBy'],0.669,0.656,9,-10.549,1,0.0413,0.00113,0.000252,0.0989,0.464,108.098,https://api.spotify.com/v1/tracks/3Ph7fws05DvPwpn5CQHTBy,https://api.spotify.com/v1/audio-analysis/3Ph7fws05DvPwpn5CQHTBy,259866,4
